Tytuł;Tytuł org.;Rok;Długość;Ocena;Liczba ocen;Chce zobaczyć;Ocena krytyków;Liczba ocen krytyków;Reżyser;Scenariusz;Gatunek;Kraj;Box Office;Budżet;1;2;3;4;5;6;7;8;9;10;Komentarze;Typ długości;Region
Sin City - Miasto grzechu;Sin City;2005;124.0;7.43345;266156;47049;7.34615;26.0;Robert Rodriguez, Frank Miller;Robert Rodriguez, Frank Miller;Akcja;USA;74103820.0;40000000.0;3152;2398;5447;7202;14172;26810;58224;78396;44645;25710;5017;Długometrażowy;USA
Memento;Memento;2000;113.0;7.56845;192430;71436;8.26087;23.0;Christopher Nolan;Christopher Nolan;Akcja;USA;25544867.0;9000000.0;1201;768;2114;3457;8540;18253;45780;64677;33004;14636;3322;Długometrażowy;USA
Joker;Joker;2019;122.0;8.308;299793;24175;7.11111;45.0;Todd Phillips;Todd Phillips, Scott Silver;Dramat;USA;335477657.0;55000000.0;684;497;1525;2054;5604;13013;40427;87872;97023;51094;4727;Długometrażowy;USA
Katedra;Katedra;2002;7.0;7.83214;170703;24427;6.71429;14.0;Tomasz Bagiński;Tomasz Bagiński;Animacja;Polska;;;1415;572;1618;2439;5325;12892;32711;57390;35683;20658;1513;Krótkometrażowy;Polska
Sztuka spadania;Sztuka spadania;2004;6.0;7.70564;87907;21954;7.0;13.0;Tomasz Bagiński;Tomasz Bagiński;Animacja;Polska;;;712;326;799;1255;3038;7138;19152;30739;16875;7873;662;Krótkometrażowy;Polska
Cyrk motyli;The Butterfly Circus;2009;20.0;7.80985;52791;17880;6.0;2.0;Joshua Weigel;Joshua Weigel, Rebekah Weigel;Dramat;USA;;;299;226;557;884;1912;4042;10001;17213;11761;5896;393;Krótkometrażowy;USA
Paperman;Paperman;2012;7.0;7.74828;68862;12087;6.81818;11.0;John Kahrs;;Animacja;USA;;;98;79;305;682;1852;5667;16588;26763;12099;4729;282;Krótkometrażowy;USA
Vincent;Vincent;1982;6.0;7.75043;42710;29330;7.66667;9.0;Tim Burton;Tim Burton;Animacja;USA;;;387;190;430;652;1441;3437;8939;14224;7936;5074;324;Krótkometrażowy;USA
Kung Fury: Pięści czasu;Kung Fury;2015;30.0;7.5273;69918;8991;5.2;15.0;David Sandberg;David Sandberg;Komedia;Szwecja;;;943;570;1324;1580;3174;6824;14627;20644;12756;7476;750;Krótkometrażowy;Europa
Gadające głowy;Gadające głowy;1980;14.0;8.05288;43419;15902;8.1875;16.0;Krzysztof Kieślowski;Krzysztof Kieślowski;Dokumentalny;Polska;;;162;78;179;281;729;2126;7360;17102;11088;4314;404;Krótkometrażowy;Polska
Twardowsky 2.0;Twardowsky 2.0;2016;21.0;7.81068;57675;4981;5.0;4.0;Tomasz Bagiński;Błażej Dzikowski;Fantasy;Polska;;;165;118;320;508;1266;3833;12738;23759;11158;3810;53;Krótkometrażowy;Polska
Twardowsky;Twardowsky;2015;9.0;7.71758;56794;5044;4.66667;3.0;Tomasz Bagiński;Błażej Dzikowski;Fantasy;Polska;;;163;111;351;565;1371;4403;13888;22725;9845;3372;119;Krótkometrażowy;Polska
